Near Surface Air Temperature,Precipitation,Alert
297.051625|296.02775|294.515|294.42325|294.352625|294.9065|295.394,0|0|0|0|0|0|0,0
296.02775|294.515|294.42325|294.352625|294.9065|295.394|295.099625,0|0|0|0|0|0|0,0
294.515|294.42325|294.352625|294.9065|295.394|295.099625|297.581625,0|0|0|0|0|0|0,0
294.42325|294.352625|294.9065|295.394|295.099625|297.581625|298.3175,0|0|0|0|0|0|0,0
294.352625|294.9065|295.394|295.099625|297.581625|298.3175|297.478875,0|0|0|0|0|0|0,0
294.9065|295.394|295.099625|297.581625|298.3175|297.478875|297.87675,0|0|0|0|0|0|0,0
295.394|295.099625|297.581625|298.3175|297.478875|297.87675|298.47025,0|0|0|0|0|0|0,0
295.099625|297.581625|298.3175|297.478875|297.87675|298.47025|296.614875,0|0|0|0|0|0|0,0
297.581625|298.3175|297.478875|297.87675|298.47025|296.614875|294.728,0|0|0|0|0|0|0,0
298.3175|297.478875|297.87675|298.47025|296.614875|294.728|292.799,0|0|0|0|0|0|0,0
297.478875|297.87675|298.47025|296.614875|294.728|292.799|292.6465,0|0|0|0|0|0|0,0
297.87675|298.47025|296.614875|294.728|292.799|292.6465|294.473625,0|0|0|0|0|0|0,0
298.47025|296.614875|294.728|292.799|292.6465|294.473625|294.63575,0|0|0|0|0|0|0,0
296.614875|294.728|292.799|292.6465|294.473625|294.63575|294.52275,0|0|0|0|0|0|0,0
294.728|292.799|292.6465|294.473625|294.63575|294.52275|295.291625,0|0|0|0|0|0|0,0
292.799|292.6465|294.473625|294.63575|294.52275|295.291625|294.830125,0|0|0|0|0|0|0,0
292.6465|294.473625|294.63575|294.52275|295.291625|294.830125|293.5295,0|0|0|0|0|0|0,0
294.473625|294.63575|294.52275|295.291625|294.830125|293.5295|294.1685,0|0|0|0|0|0|0,0
294.63575|294.52275|295.291625|294.830125|293.5295|294.1685|292.73325,0|0|0|0|0|0|0,0
294.52275|295.291625|294.830125|293.5295|294.1685|292.73325|291.5175,0|0|0|0|0|0|0,0
295.291625|294.830125|293.5295|294.1685|292.73325|291.5175|293.271375,0|0|0|0|0|0|0,0
294.830125|293.5295|294.1685|292.73325|291.5175|293.271375|294.431875,0|0|0|0|0|0|1091.172917,0
293.5295|294.1685|292.73325|291.5175|293.271375|294.431875|292.902125,0|0|0|0|0|1091.172917|0,0
294.1685|292.73325|291.5175|293.271375|294.431875|292.902125|292.197125,0|0|0|0|1091.172917|0|0,0
292.73325|291.5175|293.271375|294.431875|292.902125|292.197125|289.827375,0|0|0|1091.172917|0|0|285.6394375,1
291.5175|293.271375|294.431875|292.902125|292.197125|289.827375|290.543625,0|0|1091.172917|0|0|285.6394375|238.0783333,0
293.271375|294.431875|292.902125|292.197125|289.827375|290.543625|289.535375,0|1091.172917|0|0|285.6394375|238.0783333|0,0
294.431875|292.902125|292.197125|289.827375|290.543625|289.535375|288.978375,1091.172917|0|0|285.6394375|238.0783333|0|1400.503415,0
292.902125|292.197125|289.827375|290.543625|289.535375|288.978375|291.08525,0|0|285.6394375|238.0783333|0|1400.503415|109.0738396,0
292.197125|289.827375|290.543625|289.535375|288.978375|291.08525|289.714125,0|285.6394375|238.0783333|0|1400.503415|109.0738396|0,0
289.827375|290.543625|289.535375|288.978375|291.08525|289.714125|287.359375,285.6394375|238.0783333|0|1400.503415|109.0738396|0|0,1
290.543625|289.535375|288.978375|291.08525|289.714125|287.359375|286.323,238.0783333|0|1400.503415|109.0738396|0|0|0,0
289.535375|288.978375|291.08525|289.714125|287.359375|286.323|286.924625,0|1400.503415|109.0738396|0|0|0|0,0
288.978375|291.08525|289.714125|287.359375|286.323|286.924625|287.5425,1400.503415|109.0738396|0|0|0|0|7216.583313,0
291.08525|289.714125|287.359375|286.323|286.924625|287.5425|286.66075,109.0738396|0|0|0|0|7216.583313|223.5564375,0
289.714125|287.359375|286.323|286.924625|287.5425|286.66075|282.932875,0|0|0|0|7216.583313|223.5564375|0,0
287.359375|286.323|286.924625|287.5425|286.66075|282.932875|284.932,0|0|0|7216.583313|223.5564375|0|0,0
286.323|286.924625|287.5425|286.66075|282.932875|284.932|286.80475,0|0|7216.583313|223.5564375|0|0|0,0
286.924625|287.5425|286.66075|282.932875|284.932|286.80475|285.92025,0|7216.583313|223.5564375|0|0|0|0,1
287.5425|286.66075|282.932875|284.932|286.80475|285.92025|285.624,7216.583313|223.5564375|0|0|0|0|257.7747292,0
286.66075|282.932875|284.932|286.80475|285.92025|285.624|285.89525,223.5564375|0|0|0|0|257.7747292|2.366375,0
282.932875|284.932|286.80475|285.92025|285.624|285.89525|285.113625,0|0|0|0|257.7747292|2.366375|0,0
284.932|286.80475|285.92025|285.624|285.89525|285.113625|285.455375,0|0|0|257.7747292|2.366375|0|1423.379188,0
286.80475|285.92025|285.624|285.89525|285.113625|285.455375|285.194375,0|0|257.7747292|2.366375|0|1423.379188|51821.35188,0
285.92025|285.624|285.89525|285.113625|285.455375|285.194375|284.188875,0|257.7747292|2.366375|0|1423.379188|51821.35188|0,0
285.624|285.89525|285.113625|285.455375|285.194375|284.188875|283.1555,257.7747292|2.366375|0|1423.379188|51821.35188|0|0,0
285.89525|285.113625|285.455375|285.194375|284.188875|283.1555|282.297875,2.366375|0|1423.379188|51821.35188|0|0|0,0
285.113625|285.455375|285.194375|284.188875|283.1555|282.297875|282.753625,0|1423.379188|51821.35188|0|0|0|0,0
285.455375|285.194375|284.188875|283.1555|282.297875|282.753625|281.918125,1423.379188|51821.35188|0|0|0|0|0,0
285.194375|284.188875|283.1555|282.297875|282.753625|281.918125|282.746,51821.35188|0|0|0|0|0|0,0
284.188875|283.1555|282.297875|282.753625|281.918125|282.746|285.04225,0|0|0|0|0|0|0,0
283.1555|282.297875|282.753625|281.918125|282.746|285.04225|285.87925,0|0|0|0|0|0|0,0
282.297875|282.753625|281.918125|282.746|285.04225|285.87925|284.80625,0|0|0|0|0|0|0,0
282.753625|281.918125|282.746|285.04225|285.87925|284.80625|286.228375,0|0|0|0|0|0|0,0
281.918125|282.746|285.04225|285.87925|284.80625|286.228375|284.351125,0|0|0|0|0|0|0,0
282.746|285.04225|285.87925|284.80625|286.228375|284.351125|284.027,0|0|0|0|0|0|0,0
285.04225|285.87925|284.80625|286.228375|284.351125|284.027|283.0885,0|0|0|0|0|0|0,0
285.87925|284.80625|286.228375|284.351125|284.027|283.0885|285.1385,0|0|0|0|0|0|104.2624123,0
284.80625|286.228375|284.351125|284.027|283.0885|285.1385|284.26575,0|0|0|0|0|104.2624123|0,0
286.228375|284.351125|284.027|283.0885|285.1385|284.26575|284.005875,0|0|0|0|104.2624123|0|0,0
284.351125|284.027|283.0885|285.1385|284.26575|284.005875|285.44625,0|0|0|104.2624123|0|0|0,0
284.027|283.0885|285.1385|284.26575|284.005875|285.44625|285.005375,0|0|104.2624123|0|0|0|303.4467771,0
283.0885|285.1385|284.26575|284.005875|285.44625|285.005375|285.08025,0|104.2624123|0|0|0|303.4467771|479.5463583,0
285.1385|284.26575|284.005875|285.44625|285.005375|285.08025|286.12375,104.2624123|0|0|0|303.4467771|479.5463583|121.0459217,0
284.26575|284.005875|285.44625|285.005375|285.08025|286.12375|285.428875,0|0|0|303.4467771|479.5463583|121.0459217|7.4309375,0
284.005875|285.44625|285.005375|285.08025|286.12375|285.428875|283.011,0|0|303.4467771|479.5463583|121.0459217|7.4309375|0,0
285.44625|285.005375|285.08025|286.12375|285.428875|283.011|281.385375,0|303.4467771|479.5463583|121.0459217|7.4309375|0|0,0
285.005375|285.08025|286.12375|285.428875|283.011|281.385375|283.04425,303.4467771|479.5463583|121.0459217|7.4309375|0|0|0,0
